id,model,makeId,typeId
430,S5 COUPE 3.0 TFSI V6,7,1
431,S5 SPORTBACK 3.0 TFSI V6,7,1
432,S6,7,1
433,S6 4.0 V8T FSI QUATTRO,7,1
434,S8 4.2 QUATTRO,7,1
435,SQ5 3.0 V6 TFSI TIPTRONIC,7,2
436,TT 1.8,7,1
437,TT 1.8 T,7,1
438,TT 2.0 FSI,7,1
439,TT COUPE,7,1
440,TT COUPE 1.8,7,1
441,TT COUPE 1.8T FSI,7,1
442,TT COUPE 2.0 T FSI,7,1
443,TT COUPE 3.2 QUATTRO,7,1
444,TT COUPE QUATTRO,7,1
445,TT ROADSTER,7,1
446,TT ROADSTER 1.8T FSI,7,1
447,TT ROADSTER 2.0 T FSI,7,1
448,TT ROADSTER 3.2 QUATTRO,7,1
449,TT ROADSTER QUATTRO,7,1
450,TT RS COUPE 2.5 TFSI S,7,1
451,TT RS COUPE 2.5T FSI,7,1
452,TTS COUPE 2.0 TFSI,7,1
453,TTS ROADSTER 2.0 TFSI,7,1
454,D20 HATCHBACK,8,1
455,X25,8,1
456,X35,8,1
457,X55,8,1
458,X65,8,1
459,116 D,9,1
460,116I,9,1
461,118 D,9,1
462,118D,9,1
463,118I,9,1
464,120D,9,1
465,120I,9,1
466,125 D,9,1
467,125 I,9,1
468,130I,9,1
469,135 I,9,1
470,1M,9,1
471,218I,9,1
472,220 I,9,1
473,220I,9,1
474,316 I,9,1
475,316 IA,9,1
476,316 TI,9,1
477,316 TI COMPACT,9,1
478,316I,9,1
479,316I COMPACT,9,1
480,318 ED,9,1
481,318 IA,9,1
482,318 IC,9,1
483,318 ISA,9,1
484,318 TDS,9,1
485,318 TI,9,1
486,318 TI COMPACT,9,1
487,318 TIA,9,1
488,318 TIA COMPACT,9,1
489,318I,9,1
490,318IS,9,1
491,318ISA,9,1
492,318TDS COMPACT,9,1
493,320 CI,9,1
494,320 D,9,1
495,320 D TOURING,9,1
496,320 I,9,1
497,320 IA,9,1
498,320 IR2,9,1
499,320 IS,9,1
500,320 TD,9,1
501,320I 18,9,1
502,323 CI,9,1
503,323 TI,9,1
504,323I,9,1
505,323TI A,9,1
506,324 D,9,1
507,325 CI,9,1
508,325 CI A,9,1
509,325 E,9,1
510,325 I,9,1
511,325 IA,9,1
512,325 IX,9,1
513,325 SD,9,1
514,325 TD,9,1
515,325 TDS,9,1
516,325 TDSA,9,1
517,325 TI,9,1
518,325I,9,1
